"","variale","label"
"LBDHDD_outcome","LBDHDD_outcome","Direct HDL-Cholesterol (mg/dL)"
"DR1TKCAL","DR1TKCAL","Energy (kcal)"
"DR1TPROT","DR1TPROT","Protein (gm)"
"DR1TCARB","DR1TCARB","Carbohydrate (gm)"
"DR1TSUGR","DR1TSUGR","Total sugars (gm)"
"DR1TFIBE","DR1TFIBE","Dietary fiber (gm)"
"DR1TTFAT","DR1TTFAT","Total fat (gm)"
"DR1TSFAT","DR1TSFAT","Total saturated fatty acids (gm)"
"DR1TMFAT","DR1TMFAT","Total monounsaturated fatty acids (gm)"
"DR1TPFAT","DR1TPFAT","Total polyunsaturated fatty acids (gm)"
"DR1TCHOL","DR1TCHOL","Cholesterol (mg)"
"DR1TATOC","DR1TATOC","Vitamin E as alpha-tocopherol (mg)"
"DR1TATOA","DR1TATOA","Added alpha-tocopherol (Vitamin E) (mg)"
"DR1TRET","DR1TRET","Retinol (mcg)"
"DR1TVARA","DR1TVARA","Vitamin A, RAE (mcg)"
"DR1TACAR","DR1TACAR","Alpha-carotene (mcg)"
"DR1TBCAR","DR1TBCAR","Beta-carotene (mcg)"
"DR1TCRYP","DR1TCRYP","Beta-cryptoxanthin (mcg)"
"DR1TLYCO","DR1TLYCO","Lycopene (mcg)"
"DR1TLZ","DR1TLZ","Lutein + zeaxanthin (mcg)"
"DR1TVB1","DR1TVB1","Thiamin (Vitamin B1) (mg)"
"DR1TVB2","DR1TVB2","Riboflavin (Vitamin B2) (mg)"
"DR1TNIAC","DR1TNIAC","Niacin (mg)"
"DR1TVB6","DR1TVB6","Vitamin B6 (mg)"
"DR1TFOLA","DR1TFOLA","Total folate (mcg)"
"DR1TFA","DR1TFA","Folic acid (mcg)"
"DR1TFF","DR1TFF","Food folate (mcg)"
"DR1TFDFE","DR1TFDFE","Folate, DFE (mcg)"
"DR1TCHL","DR1TCHL","Total choline (mg)"
"DR1TVB12","DR1TVB12","Vitamin B12 (mcg)"
"DR1TB12A","DR1TB12A","Added vitamin B12 (mcg)"
"DR1TVC","DR1TVC","Vitamin C (mg)"
"DR1TVD","DR1TVD","Vitamin D (D2 + D3) (mcg)"
"DR1TVK","DR1TVK","Vitamin K (mcg)"
"DR1TCALC","DR1TCALC","Calcium (mg)"
"DR1TPHOS","DR1TPHOS","Phosphorus (mg)"
"DR1TMAGN","DR1TMAGN","Magnesium (mg)"
"DR1TIRON","DR1TIRON","Iron (mg)"
